g/h n m    2010.0   2015.0 2015-20
g 12 11     -0.77     -0.9     0.0
h 12 11     -0.23     -0.1     0.0
g 12 12      0.04      0.0     0.0
h 12 12      0.87      0.7     0.0
g 13  0     -0.09      0.0     0.0
g 13  1     -0.89     -0.9     0.0
h 13  1     -0.87     -0.9     0.0
g 13  2      0.31      0.4     0.0
h 13  2      0.30      0.4     0.0
g 13  3      0.42      0.5     0.0
h 13  3      1.66      1.6     0.0
g 13  4     -0.45     -0.5     0.0
h 13  4     -0.59     -0.5     0.0
g 13  5      1.08      1.0     0.0
h 13  5     -1.14     -1.2     0.0
g 13  6     -0.31     -0.2     0.0
h 13  6     -0.07     -0.1     0.0
g 13  7      0.78      0.8     0.0
h 13  7      0.54      0.4     0.0
g 13  8     -0.18     -0.1     0.0
h 13  8      0.10     -0.1     0.0
g 13  9      0.38      0.3     0.0
h 13  9      0.49      0.4     0.0
g 13 10      0.02      0.1     0.0
h 13 10      0.44      0.5     0.0
g 13 11      0.42      0.5     0.0
h 13 11     -0.25     -0.3     0.0
g 13 12     -0.26     -0.4     0.0
h 13 12     -0.53     -0.4     0.0
g 13 13     -0.26     -0.3     0.0
h 13 13     -0.79     -0.8     0.0
